scorer,DLC_mobnet_100_C57Feb13shuffle1_375000,DLC_mobnet_100_C57Feb13shuffle1_375000,DLC_mobnet_100_C57Feb13shuffle1_375000,DLC_mobnet_100_C57Feb13shuffle1_375000,DLC_mobnet_100_C57Feb13shuffle1_375000,DLC_mobnet_100_C57Feb13shuffle1_375000,DLC_mobnet_100_C57Feb13shuffle1_375000,DLC_mobnet_100_C57Feb13shuffle1_375000,DLC_mobnet_100_C57Feb13shuffle1_375000,DLC_mobnet_100_C57Feb13shuffle1_375000,DLC_mobnet_100_C57Feb13shuffle1_375000,DLC_mobnet_100_C57Feb13shuffle1_375000
bodyparts,Focinho,Focinho,Focinho,OrelhaE,OrelhaE,OrelhaE,OrelhaD,OrelhaD,OrelhaD,Rabo,Rabo,Rabo
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
1897,368.81109619140625,148.51904296875,0.999997615814209,320.30401611328125,110.52737426757812,0.999860405921936,309.84906005859375,153.6728057861328,0.9999620914459229,178.46505737304688,120.9354476928711,0.9999065399169922
1898,367.7643127441406,148.52462768554688,0.9999960660934448,318.92236328125,110.21708679199219,0.9998244643211365,308.9444885253906,153.6415252685547,0.9999685287475586,178.1028289794922,120.76190185546875,0.9999027252197266
1899,368.5246887207031,148.68565368652344,0.9999971389770508,319.76904296875,110.72174072265625,0.9998247027397156,309.325439453125,153.2604522705078,0.999972939491272,178.0016326904297,120.8542709350586,0.9999088048934937
1900,368.31732177734375,149.0866241455078,0.9999967813491821,319.9097900390625,111.2391128540039,0.9998687505722046,308.66455078125,154.09393310546875,0.9999592304229736,178.299560546875,120.66426849365234,0.9998998641967773
1901,368.21832275390625,149.36856079101562,0.9999966621398926,319.9471130371094,110.6257553100586,0.9998382329940796,309.15789794921875,153.8231658935547,0.999954342842102,177.801025390625,120.78018951416016,0.9999152421951294
1902,367.8582458496094,149.51551818847656,0.9999954700469971,318.75970458984375,109.97795867919922,0.9998272061347961,308.8862609863281,154.16812133789062,0.9999557733535767,177.9745330810547,120.66908264160156,0.9999117851257324
1903,365.8403625488281,152.0916748046875,0.9999548196792603,320.3676452636719,111.1221694946289,0.9998881816864014,308.1635437011719,154.0227508544922,0.9999655485153198,177.47555541992188,120.13241577148438,0.9999055862426758
1904,354.6386413574219,167.7542266845703,0.9999935626983643,323.65643310546875,117.26195526123047,0.9999933242797852,303.09912109375,155.64974975585938,0.9998781681060791,178.09571838378906,119.73406219482422,0.9999282360076904
1905,340.09466552734375,191.11485290527344,0.9999974966049194,328.64990234375,130.75274658203125,0.9999898672103882,297.13800048828125,159.6410675048828,0.9999903440475464,177.52125549316406,115.59430694580078,0.999975323677063
1906,327.99493408203125,202.4778289794922,0.9999539852142334,327.69561767578125,144.81100463867188,0.9999891519546509,291.1304626464844,168.28070068359375,0.9999867677688599,177.74270629882812,112.08307647705078,0.999975323677063
1907,323.048828125,207.5139923095703,0.999996542930603,323.7309265136719,151.17799377441406,0.999996542930603,288.1076965332031,174.83660888671875,0.9999886751174927,176.8383331298828,110.56137084960938,0.9999322891235352
